

METROPOLITAN AREAS AND COMPONENTS, 1998, WITH FIPS CODES

(Metropolitan areas defined by Office of Management and Budget, 6/30/98)

Source:			U.S. Census Bureau
Internet Release date:	July 1996
Revised date:		November 3, 1998 

The file layout is located at the end of the data file.

GUIDE TO FIPS CODES:
     MSA= Metropolitan Statistical Area
     CMSA= Consolidated Metropolitan Statistical Area  
     PMSA= Primary Metropolitan Statistical Area
     ALT. CM= Alternative Consolidated Metropolitan Statistical Area
     SS= State
     CCC= County
     EEEEE= Entity (city/town)

MSA/		ALT.
CMSA	PMSA	CM	SS	CCC	F	EEEEE	Metropolitan Area and Components
1122	4760	07	33	015	2	43220	        Londonderry town
1122	5350	07					   Nashua, NH PMSA
1122	5350	07	33	011			     Hillsborough County (pt.)
1122	5350	07	33	011	2	01300	        Amherst town
1122	5350	07	33	011	2	08100	        Brookline town
1122	5350	07	33	011	2	31940	        Greenville town
1122	5350	07	33	011	2	37140	        Hollis town
1122	5350	07	33	011	1	37940	        Hudson town
1122	5350	07	33	011	2	42260	        Litchfield town
1122	5350	07	33	011	2	46260	        Mason town
1122	5350	07	33	011	2	47540	        Merrimack town
1122	5350	07	33	011	2	48020	        Milford town
1122	5350	07	33	011	2	49140	        Mont Vernon town
1122	5350	07	33	011	1	50260	        Nashua city
1122	5350	07	33	011	2	51940	        New Ipswich town
1122	5350	07	33	011	2	85220	        Wilton town
1122	5400	07					   New Bedford, MA PMSA
1122	5400	07	25	005			     Bristol County (pt.)
1122	5400	07	25	005	1	00520	        Acushnet town
1122	5400	07	25	005	1	16425	        Dartmouth town
1122	5400	07	25	005	1	22130	        Fairhaven town
1122	5400	07	25	005	2	25240	        Freetown town
1122	5400	07	25	005	1	45000	        New Bedford city
1122	5400	07	25	023			     Plymouth County (pt.)
1122	5400	07	25	023	2	38540	        Marion town
1122	5400	07	25	023	2	39450	        Mattapoisett town
1122	5400	07	25	023	2	57600	        Rochester town
1122	6450	07					   Portsmouth-Rochester, NH-ME PMSA
1122	6450	07	23	031			     York County, ME (pt.)
1122	6450	07	23	031	1	04720	        Berwick town
1122	6450	07	23	031	2	22955	        Eliot town
1122	6450	07	23	031	1	37270	        Kittery town
1122	6450	07	23	031	1	70030	        South Berwick town
1122	6450	07	23	031	2	87985	        York town
1122	6450	07	33	015			     Rockingham County, NH (pt.)
1122	6450	07	33	015	2	07220	        Brentwood town
1122	6450	07	33	015	2	21380	        East Kingston town
1122	6450	07	33	015	2	24660	        Epping town
1122	6450	07	33	015	2	25380	        Exeter town
1122	6450	07	33	015	2	31700	        Greenland town
1122	6450	07	33	015	2	33060	        Hampton town
1122	6450	07	33	015	2	33460	        Hampton Falls town
1122	6450	07	33	015	2	39780	        Kensington town
1122	6450	07	33	015	1	50980	        New Castle town
1122	6450	07	33	015	2	51380	        Newfields town
1122	6450	07	33	015	1	51620	        Newington town
1122	6450	07	33	015	2	52340	        Newmarket town
1122	6450	07	33	015	2	54580	        North Hampton town
1122	6450	07	33	015	1	62900	        Portsmouth city
1122	6450	07	33	015	2	66180	        Rye town
1122	6450	07	33	015	2	74340	        Stratham town
1122	6450	07	33	017			     Strafford County, NH (pt.)
1122	6450	07	33	017	2	03460	        Barrington town
1122	6450	07	33	017	1	18820	        Dover city
1122	6450	07	33	017	1	19700	        Durham town
1122	6450	07	33	017	2	26020	        Farmington town
1122	6450	07	33	017	2	41460	        Lee town
1122	6450	07	33	017	2	44820	        Madbury town
1122	6450	07	33	017	2	48660	        Milton town
1122	6450	07	33	017	1	65140	        Rochester city
1122	6450	07	33	017	1	65540	        Rollinsford town
1122	6450	07	33	017	1	69940	        Somersworth city
1122	9240	07					   Worcester, MA-CT PMSA
1122	9240	07	09	015			     Windham County, CT (pt.)
1122	9240	07	09	015	2	75870	        Thompson town
1122	9240	07	25	013			     Hampden County, MA (pt.)
1122	9240	07	25	013	2	30665	        Holland town
1122	9240	07	25	027			     Worcester County, MA (pt.)
1122	9240	07	25	027	1	02760	        Auburn town
1122	9240	07	25	027	2	03740	        Barre town
1122	9240	07	25	027	2	07525	        Boylston town
1122	9240	07	25	027	2	09105	        Brookfield town
1122	9240	07	25	027	2	12715	        Charlton town
1122	9240	07	25	027	2	14395	        Clinton town
1122	9240	07	25	027	2	17300	        Douglas town
1122	9240	07	25	027	2	17685	        Dudley town
1122	9240	07	25	027	2	18560	        East Brookfield town
1122	9240	07	25	027	1	26430	        Grafton town
1122	9240	07	25	027	1	30560	        Holden town
1122	9240	07	25	027	1	34795	        Leicester town
1122	9240	07	25	027	1	41340	        Millbury town
1122	9240	07	25	027	1	46820	        Northborough town
1122	9240	07	25	027	1	46925	        Northbridge town
1122	9240	07	25	027	2	47135	        North Brookfield town
1122	9240	07	25	027	2	50670	        Oakham town
